name,title,type,description,plan,dataset_name,dataset_link
publikujici_organizace_ic,publikujici_organizace_ic,string,"Organizace, která poskytuje data o přístupnosti objektu. IČ.",https://opendata.gov.cz/vzor:vzorovy-publikacni-plan-ministerstva,Bezbariérová přístupnost objektů z uživatelského hlediska,/datova-sada:bezbarierova-pristupnost-objektu-z-uzivatelskeho-hlediska
publikujici_organizace_nazev,publikujici_organizace_nazev,string,"Organizace, která poskytuje data o přístupnosti objektu. Název.",https://opendata.gov.cz/vzor:vzorovy-publikacni-plan-ministerstva,Bezbariérová přístupnost objektů z uživatelského hlediska,/datova-sada:bezbarierova-pristupnost-objektu-z-uzivatelskeho-hlediska
objekt,objekt,string,Název objektu s bezbarierovým přístupem.,https://opendata.gov.cz/vzor:vzorovy-publikacni-plan-ministerstva,Bezbariérová přístupnost objektů z uživatelského hlediska,/datova-sada:bezbarierova-pristupnost-objektu-z-uzivatelskeho-hlediska
id_objektu,id_objektu,string,Identifikátor objektu.,https://opendata.gov.cz/vzor:vzorovy-publikacni-plan-ministerstva,Bezbariérová přístupnost objektů z uživatelského hlediska,/datova-sada:bezbarierova-pristupnost-objektu-z-uzivatelskeho-hlediska
adresa_kod_adm,adresa_kod_adm,string,"Adresa objektu. ID adresního místa v Registru územních identifikátorů, adres a nemovitostí.",https://opendata.gov.cz/vzor:vzorovy-publikacni-plan-ministerstva,Bezbariérová přístupnost objektů z uživatelského hlediska,/datova-sada:bezbarierova-pristupnost-objektu-z-uzivatelskeho-hlediska
adresa_kod_obce,adresa_kod_obce,string,Adresa objektu. Obec - LAU 2 kód.,https://opendata.gov.cz/vzor:vzorovy-publikacni-plan-ministerstva,Bezbariérová přístupnost objektů z uživatelského hlediska,/datova-sada:bezbarierova-pristupnost-objektu-z-uzivatelskeho-hlediska
adresa_nazev_obce,adresa_nazev_obce,string,Adresa objektu. Název obce.,https://opendata.gov.cz/vzor:vzorovy-publikacni-plan-ministerstva,Bezbariérová přístupnost objektů z uživatelského hlediska,/datova-sada:bezbarierova-pristupnost-objektu-z-uzivatelskeho-hlediska
adresa_nazev_momc,adresa_nazev_momc,string,"Adresa objektu. Název městského obvodu/městské části, který je vyplněn pouze v případě členěných statutárních měst.",https://opendata.gov.cz/vzor:vzorovy-publikacni-plan-ministerstva,Bezbariérová přístupnost objektů z uživatelského hlediska,/datova-sada:bezbarierova-pristupnost-objektu-z-uzivatelskeho-hlediska
adresa_nazev_mop,adresa_nazev_mop,string,"Adresa objektu. Název městského obvodu Prahy, který je vyplněn pouze v případě Hlavního města Prahy.",https://opendata.gov.cz/vzor:vzorovy-publikacni-plan-ministerstva,Bezbariérová přístupnost objektů z uživatelského hlediska,/datova-sada:bezbarierova-pristupnost-objektu-z-uzivatelskeho-hlediska
adresa_kod_casti_obce,adresa_kod_casti_obce,string,Adresa objektu. Kód části obce vedené v ISÚI.,https://opendata.gov.cz/vzor:vzorovy-publikacni-plan-ministerstva,Bezbariérová přístupnost objektů z uživatelského hlediska,/datova-sada:bezbarierova-pristupnost-objektu-z-uzivatelskeho-hlediska
adresa_nazev_casti_obce,adresa_nazev_casti_obce,string,"Adresa objektu. Název části obce, v rámci nadřazené obce, ve které je číslován stavební objekt.",https://opendata.gov.cz/vzor:vzorovy-publikacni-plan-ministerstva,Bezbariérová přístupnost objektů z uživatelského hlediska,/datova-sada:bezbarierova-pristupnost-objektu-z-uzivatelskeho-hlediska
adresa_nazev_ulice,adresa_nazev_ulice,string,"Adresa objektu. Název ulice, která je navázána na adresní místo. Může být vyplněn pouze u obcí, které mají zavedenu uliční síť.",https://opendata.gov.cz/vzor:vzorovy-publikacni-plan-ministerstva,Bezbariérová přístupnost objektů z uživatelského hlediska,/datova-sada:bezbarierova-pristupnost-objektu-z-uzivatelskeho-hlediska
adresa_typ_so,adresa_typ_so,string,"Adresa objektu. Typ stavebního objektu, může nabývat hodnot: č.p.- číslo popisné stavebního objektu č.ev.- číslo evidenční stavebního objektu.",https://opendata.gov.cz/vzor:vzorovy-publikacni-plan-ministerstva,Bezbariérová přístupnost objektů z uživatelského hlediska,/datova-sada:bezbarierova-pristupnost-objektu-z-uzivatelskeho-hlediska
adresa_cislo_domovni,adresa_cislo_domovni,string,"Adresa objektu. Číslo popisné nebo číslo evidenční, podle rozlišeného typu stavebního objektu.",https://opendata.gov.cz/vzor:vzorovy-publikacni-plan-ministerstva,Bezbariérová přístupnost objektů z uživatelského hlediska,/datova-sada:bezbarierova-pristupnost-objektu-z-uzivatelskeho-hlediska
adresa_cislo_orientacni,adresa_cislo_orientacni,string,"Adresa objektu. Číslo orientační, slouží k orientaci v rámci nadřazené ulice.",https://opendata.gov.cz/vzor:vzorovy-publikacni-plan-ministerstva,Bezbariérová přístupnost objektů z uživatelského hlediska,/datova-sada:bezbarierova-pristupnost-objektu-z-uzivatelskeho-hlediska
adresa_znak_cisla_orientacniho,adresa_znak_cisla_orientacniho,string,"Adresa objektu. Znak čísla orientačního, uveden v případě, že je znak k orientačnímu číslu přidělen.",https://opendata.gov.cz/vzor:vzorovy-publikacni-plan-ministerstva,Bezbariérová přístupnost objektů z uživatelského hlediska,/datova-sada:bezbarierova-pristupnost-objektu-z-uzivatelskeho-hlediska
adresa_psc,adresa_psc,string,Adresa objektu. Poštovní směrovací číslo.,https://opendata.gov.cz/vzor:vzorovy-publikacni-plan-ministerstva,Bezbariérová přístupnost objektů z uživatelského hlediska,/datova-sada:bezbarierova-pristupnost-objektu-z-uzivatelskeho-hlediska
adresa_kod_okresu,adresa_kod_okresu,string,Adresa objektu. Okres - LAU 1 kód.,https://opendata.gov.cz/vzor:vzorovy-publikacni-plan-ministerstva,Bezbariérová přístupnost objektů z uživatelského hlediska,/datova-sada:bezbarierova-pristupnost-objektu-z-uzivatelskeho-hlediska
adresa_nazev_okresu,adresa_nazev_okresu,string,Adresa objektu. Název okresu.,https://opendata.gov.cz/vzor:vzorovy-publikacni-plan-ministerstva,Bezbariérová přístupnost objektů z uživatelského hlediska,/datova-sada:bezbarierova-pristupnost-objektu-z-uzivatelskeho-hlediska
adresa_kod_kraje,adresa_kod_kraje,string,Adresa objektu. Kraj - NUTS 3 kód.,https://opendata.gov.cz/vzor:vzorovy-publikacni-plan-ministerstva,Bezbariérová přístupnost objektů z uživatelského hlediska,/datova-sada:bezbarierova-pristupnost-objektu-z-uzivatelskeho-hlediska
adresa_nazev_kraje,adresa_nazev_kraje,string,Adresa objektu. Název kraje.,https://opendata.gov.cz/vzor:vzorovy-publikacni-plan-ministerstva,Bezbariérová přístupnost objektů z uživatelského hlediska,/datova-sada:bezbarierova-pristupnost-objektu-z-uzivatelskeho-hlediska
adresa_budova,adresa_budova,string,"Adresa objektu. Označení budovy jejím názvem, číslem apod.",https://opendata.gov.cz/vzor:vzorovy-publikacni-plan-ministerstva,Bezbariérová přístupnost objektů z uživatelského hlediska,/datova-sada:bezbarierova-pristupnost-objektu-z-uzivatelskeho-hlediska
adresa_patro,adresa_patro,string,Adresa objektu. Číslo patra nebo jiné označení patra.,https://opendata.gov.cz/vzor:vzorovy-publikacni-plan-ministerstva,Bezbariérová přístupnost objektů z uživatelského hlediska,/datova-sada:bezbarierova-pristupnost-objektu-z-uzivatelskeho-hlediska
adresa_mistnost,adresa_mistnost,string,Adresa objektu. Číslo místnosti nebo jiné označení místnosti.,https://opendata.gov.cz/vzor:vzorovy-publikacni-plan-ministerstva,Bezbariérová přístupnost objektů z uživatelského hlediska,/datova-sada:bezbarierova-pristupnost-objektu-z-uzivatelskeho-hlediska
adresa_text,adresa_text,string,Adresa objektu. Celá adresa jako jeden řetězec.,https://opendata.gov.cz/vzor:vzorovy-publikacni-plan-ministerstva,Bezbariérová přístupnost objektů z uživatelského hlediska,/datova-sada:bezbarierova-pristupnost-objektu-z-uzivatelskeho-hlediska
umisteni_system,umisteni_system,string,"Souřadnice umístění objektu. Souřadnicový systém podle registru EPSG označující jednotlivé systémy, např. 5514 (pro S-JTSK), 4326 (pro WGS84).",https://opendata.gov.cz/vzor:vzorovy-publikacni-plan-ministerstva,Bezbariérová přístupnost objektů z uživatelského hlediska,/datova-sada:bezbarierova-pristupnost-objektu-z-uzivatelskeho-hlediska
umisteni_lat,umisteni_lat,double,Souřadnice umístění objektu. Zeměpisná šířka.,https://opendata.gov.cz/vzor:vzorovy-publikacni-plan-ministerstva,Bezbariérová přístupnost objektů z uživatelského hlediska,/datova-sada:bezbarierova-pristupnost-objektu-z-uzivatelskeho-hlediska
umisteni_lon,umisteni_lon,double,Souřadnice umístění objektu. Zeměpisná délka.,https://opendata.gov.cz/vzor:vzorovy-publikacni-plan-ministerstva,Bezbariérová přístupnost objektů z uživatelského hlediska,/datova-sada:bezbarierova-pristupnost-objektu-z-uzivatelskeho-hlediska
umisteni_geobody,umisteni_geobody,string,Souřadnice umístění objektu. Zápis geometrie podle standardu WKT.,https://opendata.gov.cz/vzor:vzorovy-publikacni-plan-ministerstva,Bezbariérová přístupnost objektů z uživatelského hlediska,/datova-sada:bezbarierova-pristupnost-objektu-z-uzivatelskeho-hlediska
kontakt_telefon,kontakt_telefon,string,Kontakt k získání upřesňujících informací k bezbariérovému přístupu do objektu. Telefon.,https://opendata.gov.cz/vzor:vzorovy-publikacni-plan-ministerstva,Bezbariérová přístupnost objektů z uživatelského hlediska,/datova-sada:bezbarierova-pristupnost-objektu-z-uzivatelskeho-hlediska
kontakt_mobil,kontakt_mobil,string,Kontakt k získání upřesňujících informací k bezbariérovému přístupu do objektu. Mobilní telefon.,https://opendata.gov.cz/vzor:vzorovy-publikacni-plan-ministerstva,Bezbariérová přístupnost objektů z uživatelského hlediska,/datova-sada:bezbarierova-pristupnost-objektu-z-uzivatelskeho-hlediska
kontakt_email,kontakt_email,string,Kontakt k získání upřesňujících informací k bezbariérovému přístupu do objektu. E-mail.,https://opendata.gov.cz/vzor:vzorovy-publikacni-plan-ministerstva,Bezbariérová přístupnost objektů z uživatelského hlediska,/datova-sada:bezbarierova-pristupnost-objektu-z-uzivatelskeho-hlediska
kontakt_url,kontakt_url,URL,Kontakt k získání upřesňujících informací k bezbariérovému přístupu do objektu. URL webové stránky.,https://opendata.gov.cz/vzor:vzorovy-publikacni-plan-ministerstva,Bezbariérová přístupnost objektů z uživatelského hlediska,/datova-sada:bezbarierova-pristupnost-objektu-z-uzivatelskeho-hlediska
